Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-3.325753	-3.325753
1	0.950747	7500	-3.278383	-6.604136
2	0.926679	7500	-3.235399	-9.839535
3	0.902980	7500	-3.182098	-13.021633
4	0.879648	7500	-3.143172	-16.164805
5	0.856682	7500	-3.086014	-19.250818
6	0.834079	7500	-3.037387	-22.288205
7	0.811838	7500	-2.991888	-25.280094
8	0.789957	7500	-2.939397	-28.219491
9	0.768433	7500	-2.888451	-31.107943
10	0.747266	7500	-2.857205	-33.965147
11	0.726452	7500	-2.804720	-36.769867
12	0.705989	7500	-2.757085	-39.526953
13	0.685877	7500	-2.707818	-42.234770
14	0.666112	7500	-2.670635	-44.905405
15	0.646693	7500	-2.629261	-47.534666
16	0.627618	7500	-2.575845	-50.110511
17	0.608884	7500	-2.535133	-52.645644
18	0.590490	7500	-2.491180	-55.136825
19	0.572433	7500	-2.440829	-57.577654
20	0.554712	7500	-2.403993	-59.981647
21	0.537324	7500	-2.357748	-62.339395
22	0.520268	7500	-2.312213	-64.651608
23	0.503540	7500	-2.272985	-66.924593
24	0.487139	7500	-2.230239	-69.154832
25	0.471063	7500	-2.178414	-71.333246
26	0.455310	7500	-2.145341	-73.478587
27	0.439877	7500	-2.101845	-75.580432
28	0.424762	7500	-2.070904	-77.651336
29	0.409963	7500	-2.023889	-79.675225
30	0.395478	7500	-1.976097	-81.651322
31	0.381305	7500	-1.929940	-83.581262
32	0.367440	7500	-1.890936	-85.472197
33	0.353883	7500	-1.852661	-87.324858
34	0.340630	7500	-1.825064	-89.149922
35	0.327680	7500	-1.781920	-90.931842
36	0.315030	7500	-1.750301	-92.682143
37	0.302677	7500	-1.702590	-94.384733
38	0.290619	7500	-1.658575	-96.043308
39	0.278855	7500	-1.622669	-97.665977
40	0.267381	7500	-1.590814	-99.256791
41	0.256195	7500	-1.555098	-100.811889
42	0.245294	7500	-1.509022	-102.320911
43	0.234677	7500	-1.467590	-103.788501
44	0.224340	7500	-1.441112	-105.229613
45	0.214281	7500	-1.407925	-106.637537
46	0.204498	7500	-1.359095	-107.996633
47	0.194988	7500	-1.327372	-109.324004
48	0.185749	7500	-1.297495	-110.621499
49	0.176777	7500	-1.254091	-111.875590
50	0.168070	7500	-1.218647	-113.094237
51	0.159626	7500	-1.193521	-114.287758
52	0.151441	7500	-1.165412	-115.453169
53	0.143514	7500	-1.113430	-116.566599
54	0.135841	7500	-1.080614	-117.647213
55	0.128420	7500	-1.070108	-118.717322
56	0.121247	7500	-1.023520	-119.740842
57	0.114320	7500	-1.007906	-120.748748
58	0.107637	7500	-0.963012	-121.711760
59	0.101193	7500	-0.935918	-122.647679
60	0.094986	7500	-0.905354	-123.553033
61	0.089014	7500	-0.883954	-124.436987
62	0.083273	7500	-0.839935	-125.276922
63	0.077760	7500	-0.806513	-126.083435
64	0.072472	7500	-0.772144	-126.855578
65	0.067406	7500	-0.757484	-127.613062
66	0.062558	7500	-0.709680	-128.322742
67	0.057926	7500	-0.690287	-129.013029
68	0.053506	7500	-0.665148	-129.678178
69	0.049295	7500	-0.638434	-130.316611
70	0.045289	7500	-0.605516	-130.922127
71	0.041485	7500	-0.578080	-131.500208
72	0.037880	7500	-0.553320	-132.053528
73	0.034469	7500	-0.538680	-132.592207
74	0.031250	7500	-0.509739	-133.101946
75	0.028218	7500	-0.478785	-133.580731
76	0.025370	7500	-0.457512	-134.038243
77	0.022702	7500	-0.419577	-134.457821
78	0.020209	7500	-0.412625	-134.870445
79	0.017889	7500	-0.387533	-135.257978
80	0.015736	7500	-0.359174	-135.617152
81	0.013746	7500	-0.327837	-135.944990
82	0.011916	7500	-0.328018	-136.273007
83	0.010240	7500	-0.328545	-136.601552
84	0.008714	7500	-0.289298	-136.890850
85	0.007334	7500	-0.304216	-137.195066
86	0.006093	7500	-0.290753	-137.485819
87	0.004988	7500	-0.249331	-137.735150
88	0.004013	7500	-0.223465	-137.958615
89	0.003162	7500	-0.222852	-138.181467
90	0.002430	7500	-0.180688	-138.362155
91	0.001810	7500	-0.154183	-138.516338
92	0.001296	7500	-0.170495	-138.686832
93	0.000882	7500	-0.124393	-138.811225
94	0.000559	7500	-0.091194	-138.902419
95	0.000320	7500	-0.060751	-138.963170
96	0.000156	7500	-0.048236	-139.011406
97	0.000057	7500	-0.028487	-139.039893
98	0.000010	7500	-0.012764	-139.052657
99	0.000000	7500	-0.002745	-139.055402
Log marginal likelihood:	-139.055402
